Protein,Filename,Chain
3SZ6,pdb3sz6.ent.gz,A
5A3D,pdb5a3d.ent.gz,A
1LXJ,pdb1lxj.ent.gz,A
3HXA,pdb3hxa.ent.gz,A
1WAA,pdb1waa.ent.gz,A
7RUR,7RUR.pdb.gz,A
2P4P,pdb2p4p.ent.gz,A
3BQ9,pdb3bq9.ent.gz,A
3P9C,pdb3p9c.ent.gz,A
3HBM,pdb3hbm.ent.gz,A
1XM3,pdb1xm3.ent.gz,A
3EGA,pdb3ega.ent.gz,A
3FN0,pdb3fn0.ent.gz,H
5B0N,pdb5b0n.ent.gz,A
5X42,pdb5x42.ent.gz,C
2OIX,pdb2oix.ent.gz,A
1KXO,pdb1kxo.ent.gz,A
2ZHZ,pdb2zhz.ent.gz,A
2P84,pdb2p84.ent.gz,A
6MOS,pdb6mos.ent.gz,A
1B9W,pdb1b9w.ent.gz,A
5X42,pdb5x42.ent.gz,B
4YV4,pdb4yv4.ent.gz,A
6LSQ,pdb6lsq.ent.gz,A
2Z81,pdb2z81.ent.gz,A
1OYW,pdb1oyw.ent.gz,A
3IDS,pdb3ids.ent.gz,A
3VH8,pdb3vh8.ent.gz,G
3WQJ,pdb3wqj.ent.gz,A
2CVB,pdb2cvb.ent.gz,A
1KN3,pdb1kn3.ent.gz,A
4H2D,pdb4h2d.ent.gz,A
2J22,pdb2j22.ent.gz,A
1R9W,pdb1r9w.ent.gz,A
2A61,pdb2a61.ent.gz,A
2B1Y,pdb2b1y.ent.gz,A
1W79,pdb1w79.ent.gz,A
3FO8,pdb3fo8.ent.gz,D
3AI3,pdb3ai3.ent.gz,A
1TF1,pdb1tf1.ent.gz,A
1YSP,pdb1ysp.ent.gz,A
2YXB,pdb2yxb.ent.gz,A
3HQC,pdb3hqc.ent.gz,A
6CKY,pdb6cky.ent.gz,A
1S57,pdb1s57.ent.gz,A
5CXO,pdb5cxo.ent.gz,A
1K6K,pdb1k6k.ent.gz,A
2EIF,pdb2eif.ent.gz,A
3FF7,pdb3ff7.ent.gz,C
7QUL,7QUL.pdb.gz,A
6CVZ,pdb6cvz.ent.gz,A
1VPT,pdb1vpt.ent.gz,A
1LBV,pdb1lbv.ent.gz,A
3F8M,pdb3f8m.ent.gz,A
3LBF,pdb3lbf.ent.gz,A
4JKZ,pdb4jkz.ent.gz,A
2DOK,pdb2dok.ent.gz,A
1IQ4,pdb1iq4.ent.gz,A
4KYX,pdb4kyx.ent.gz,A
3W0E,pdb3w0e.ent.gz,A
1J1B,pdb1j1b.ent.gz,A
1WXX,pdb1wxx.ent.gz,A
1BG2,pdb1bg2.ent.gz,A
2R6Z,pdb2r6z.ent.gz,A
3ERB,pdb3erb.ent.gz,A
4G1H,pdb4g1h.ent.gz,A
3HY3,pdb3hy3.ent.gz,A
2ESR,pdb2esr.ent.gz,A
1FPO,pdb1fpo.ent.gz,A
6GUW,pdb6guw.ent.gz,A
4WHE,pdb4whe.ent.gz,A
4YU8,pdb4yu8.ent.gz,A
4GVB,pdb4gvb.ent.gz,B
2OXL,pdb2oxl.ent.gz,A
1R9D,pdb1r9d.ent.gz,A
1ORV,pdb1orv.ent.gz,A
4KP1,pdb4kp1.ent.gz,A
3H2Y,pdb3h2y.ent.gz,A
1IG0,pdb1ig0.ent.gz,A
4AK9,pdb4ak9.ent.gz,A
1RO7,pdb1ro7.ent.gz,A
3E05,pdb3e05.ent.gz,A
3L9F,pdb3l9f.ent.gz,A
6BK4,pdb6bk4.ent.gz,A
5TRB,pdb5trb.ent.gz,A
5FCN,pdb5fcn.ent.gz,A
6WBP,pdb6wbp.ent.gz,A
3QFU,pdb3qfu.ent.gz,A
1JSD,pdb1jsd.ent.gz,A
6ILS,pdb6ils.ent.gz,A
1JSD,pdb1jsd.ent.gz,B
1FS1,pdb1fs1.ent.gz,B
1U5X,pdb1u5x.ent.gz,A
3Q6A,pdb3q6a.ent.gz,A
1FVU,pdb1fvu.ent.gz,A
1FVU,pdb1fvu.ent.gz,B
1S7I,pdb1s7i.ent.gz,A
1G8E,pdb1g8e.ent.gz,A
3EIP,pdb3eip.ent.gz,A
1KU3,pdb1ku3.ent.gz,A
1FS1,pdb1fs1.ent.gz,A
1KK1,pdb1kk1.ent.gz,A
2NVA,pdb2nva.ent.gz,A
1V33,pdb1v33.ent.gz,A
3CET,pdb3cet.ent.gz,A
3E6C,pdb3e6c.ent.gz,C
1PZ5,pdb1pz5.ent.gz,B
3CVI,pdb3cvi.ent.gz,H
2O6L,pdb2o6l.ent.gz,A
3RFN,pdb3rfn.ent.gz,A
5V3S,pdb5v3s.ent.gz,A
1FAO,pdb1fao.ent.gz,A
2FMM,pdb2fmm.ent.gz,A
1UIX,pdb1uix.ent.gz,A
2Z80,pdb2z80.ent.gz,A
2A77,pdb2a77.ent.gz,H
2B7K,pdb2b7k.ent.gz,A
3BFK,pdb3bfk.ent.gz,A
4RCM,pdb4rcm.ent.gz,A
2NS9,pdb2ns9.ent.gz,A
4IYS,pdb4iys.ent.gz,A
2CYY,pdb2cyy.ent.gz,A
1IHJ,pdb1ihj.ent.gz,A
1YIF,pdb1yif.ent.gz,A
2R7D,pdb2r7d.ent.gz,A
2VQM,pdb2vqm.ent.gz,A
5JWO,pdb5jwo.ent.gz,A
1RWZ,pdb1rwz.ent.gz,A
6G61,pdb6g61.ent.gz,A
7FAX,7FAX.pdb.gz,A
5JWO,pdb5jwo.ent.gz,B
1WZ3,pdb1wz3.ent.gz,A
6V0M,pdb6v0m.ent.gz,A
1W8K,pdb1w8k.ent.gz,A
1IQC,pdb1iqc.ent.gz,A
1S7K,pdb1s7k.ent.gz,A
1QWI,pdb1qwi.ent.gz,A
3JSR,pdb3jsr.ent.gz,A
2O0Q,pdb2o0q.ent.gz,A
3WFV,pdb3wfv.ent.gz,A
6EIC,pdb6eic.ent.gz,A
6Y3D,6Y3D.pdb.gz,BBB
1ZUH,pdb1zuh.ent.gz,A
6Y3D,6Y3D.pdb.gz,AAA
2H1C,pdb2h1c.ent.gz,A
2AR5,pdb2ar5.ent.gz,A
3FF9,pdb3ff9.ent.gz,A
1XAK,pdb1xak.ent.gz,A
2Z1C,pdb2z1c.ent.gz,A
2ZSJ,pdb2zsj.ent.gz,A
1HM6,pdb1hm6.ent.gz,A
1WZ8,pdb1wz8.ent.gz,A
6TEK,pdb6tek.ent.gz,A
1KZF,pdb1kzf.ent.gz,A
3HXI,pdb3hxi.ent.gz,A
2WVI,pdb2wvi.ent.gz,A
3L7T,pdb3l7t.ent.gz,A
1I4Y,pdb1i4y.ent.gz,A
1XQA,pdb1xqa.ent.gz,A
6DVU,pdb6dvu.ent.gz,A
3F2U,pdb3f2u.ent.gz,A
3LIG,pdb3lig.ent.gz,A
7YSK,7YSK.pdb.gz,A
4MIX,pdb4mix.ent.gz,A
5H6N,pdb5h6n.ent.gz,A
2VCV,pdb2vcv.ent.gz,A
1E6O,pdb1e6o.ent.gz,H
1JBK,pdb1jbk.ent.gz,A
2QH9,pdb2qh9.ent.gz,A
4Y0V,pdb4y0v.ent.gz,A
3L9Y,pdb3l9y.ent.gz,A
3MYF,pdb3myf.ent.gz,A
2EBE,pdb2ebe.ent.gz,A
3DLU,pdb3dlu.ent.gz,A
2GNC,pdb2gnc.ent.gz,A
2R60,pdb2r60.ent.gz,A
5KYO,pdb5kyo.ent.gz,A
1CS6,pdb1cs6.ent.gz,A
3M6N,pdb3m6n.ent.gz,A
3BAM,pdb3bam.ent.gz,A
1YBX,pdb1ybx.ent.gz,A
1MZB,pdb1mzb.ent.gz,A
4QDI,pdb4qdi.ent.gz,A
1YPV,pdb1ypv.ent.gz,A
2FLI,pdb2fli.ent.gz,A
1Y9I,pdb1y9i.ent.gz,A
1M07,pdb1m07.ent.gz,A
3K6D,pdb3k6d.ent.gz,A
2Q79,pdb2q79.ent.gz,A
1A92,pdb1a92.ent.gz,A
7OI4,7OI4.pdb.gz,AAA
4FD7,pdb4fd7.ent.gz,A
4BHB,pdb4bhb.ent.gz,A
2ZRR,pdb2zrr.ent.gz,A
1V2Z,pdb1v2z.ent.gz,A
5W9Q,pdb5w9q.ent.gz,A
7EAW,7EAW.pdb.gz,A
1RKX,pdb1rkx.ent.gz,A
3H49,pdb3h49.ent.gz,A
3HG7,pdb3hg7.ent.gz,A
1N0X,pdb1n0x.ent.gz,H
1N0X,pdb1n0x.ent.gz,L
2P8T,pdb2p8t.ent.gz,A
3GQH,pdb3gqh.ent.gz,A
6IUH,pdb6iuh.ent.gz,A
1WOU,pdb1wou.ent.gz,A
1EO6,pdb1eo6.ent.gz,A
1JNY,pdb1jny.ent.gz,A
1KJW,pdb1kjw.ent.gz,A
3GOS,pdb3gos.ent.gz,A
1V77,pdb1v77.ent.gz,A
8DIL,8DIL.pdb.gz,A
2YZK,pdb2yzk.ent.gz,A
1U29,pdb1u29.ent.gz,A
4ABM,pdb4abm.ent.gz,A
7LMX,7LMX.pdb.gz,A
4G68,pdb4g68.ent.gz,A
3FCP,pdb3fcp.ent.gz,A
5YII,pdb5yii.ent.gz,A
3G0O,pdb3g0o.ent.gz,A
1OXJ,pdb1oxj.ent.gz,A
2OBH,pdb2obh.ent.gz,A
6POL,pdb6pol.ent.gz,B
3FPN,pdb3fpn.ent.gz,A
6POL,pdb6pol.ent.gz,A
3UPA,pdb3upa.ent.gz,A
3FPN,pdb3fpn.ent.gz,B
3CJK,pdb3cjk.ent.gz,B
1N9P,pdb1n9p.ent.gz,A
2QX0,pdb2qx0.ent.gz,A
1LUZ,pdb1luz.ent.gz,A
7RUO,7RUO.pdb.gz,A
3IO3,pdb3io3.ent.gz,A
1SE8,pdb1se8.ent.gz,A
2AMJ,pdb2amj.ent.gz,A
1PK1,pdb1pk1.ent.gz,B
3BQK,pdb3bqk.ent.gz,A
3WBD,pdb3wbd.ent.gz,A
3E7D,pdb3e7d.ent.gz,A
2DVK,pdb2dvk.ent.gz,A
1H8U,pdb1h8u.ent.gz,A
2BA2,pdb2ba2.ent.gz,A
1Q25,pdb1q25.ent.gz,A
2YQZ,pdb2yqz.ent.gz,A
2P7S,pdb2p7s.ent.gz,A
1X8D,pdb1x8d.ent.gz,A
2EGO,pdb2ego.ent.gz,A
1ZT3,pdb1zt3.ent.gz,A
1MTZ,pdb1mtz.ent.gz,A
2ZCU,pdb2zcu.ent.gz,A
1VIC,pdb1vic.ent.gz,A
2E1N,pdb2e1n.ent.gz,A
1VQQ,pdb1vqq.ent.gz,A
7K5N,pdb7k5n.ent.gz,A
7RJF,7RJF.pdb.gz,A
2DPM,pdb2dpm.ent.gz,A
1VHS,pdb1vhs.ent.gz,A
2V0P,pdb2v0p.ent.gz,A
3P8B,pdb3p8b.ent.gz,B
1JHF,pdb1jhf.ent.gz,A
1CQ4,pdb1cq4.ent.gz,A
2A97,pdb2a97.ent.gz,A
2O0J,pdb2o0j.ent.gz,A
2HFN,pdb2hfn.ent.gz,A
1YFN,pdb1yfn.ent.gz,A
2GW5,pdb2gw5.ent.gz,A
2OO2,pdb2oo2.ent.gz,A
2YZT,pdb2yzt.ent.gz,A
1CL8,pdb1cl8.ent.gz,A
2GHT,pdb2ght.ent.gz,A
2FD4,pdb2fd4.ent.gz,A
2GGO,pdb2ggo.ent.gz,A
1E0T,pdb1e0t.ent.gz,A
3DZO,pdb3dzo.ent.gz,A
2P18,pdb2p18.ent.gz,A
7CJS,7CJS.pdb.gz,A
1KSH,pdb1ksh.ent.gz,A
3U1C,pdb3u1c.ent.gz,A
2VOO,pdb2voo.ent.gz,A
1ROA,pdb1roa.ent.gz,A
3TJI,pdb3tji.ent.gz,A
5XWE,pdb5xwe.ent.gz,A
6ZYT,6ZYT.pdb.gz,AAA
4E4C,pdb4e4c.ent.gz,A
1MHX,pdb1mhx.ent.gz,A
1IZ5,pdb1iz5.ent.gz,A
1G16,pdb1g16.ent.gz,A
1M1S,pdb1m1s.ent.gz,A
1XCF,pdb1xcf.ent.gz,A
2CD0,pdb2cd0.ent.gz,A
5YYC,pdb5yyc.ent.gz,A
4Y9T,pdb4y9t.ent.gz,A
4J2C,pdb4j2c.ent.gz,A
5WXK,pdb5wxk.ent.gz,B
4Z5Q,pdb4z5q.ent.gz,A
4WA3,pdb4wa3.ent.gz,A
7C6O,pdb7c6o.ent.gz,A
2P41,pdb2p41.ent.gz,A
4ZB6,pdb4zb6.ent.gz,A
6KM7,pdb6km7.ent.gz,A
5L2H,pdb5l2h.ent.gz,A
6KM7,pdb6km7.ent.gz,C
6KZ9,pdb6kz9.ent.gz,A
3ZBW,pdb3zbw.ent.gz,A
5E10,pdb5e10.ent.gz,A
5I2C,pdb5i2c.ent.gz,A
7BV0,pdb7bv0.ent.gz,A
7VNX,7VNX.pdb.gz,A
3REG,pdb3reg.ent.gz,A
3OCM,pdb3ocm.ent.gz,A
3R5Y,pdb3r5y.ent.gz,A
3WKY,pdb3wky.ent.gz,A
5DEU,pdb5deu.ent.gz,A
5H0J,pdb5h0j.ent.gz,A
4Q5W,pdb4q5w.ent.gz,A
5EDX,pdb5edx.ent.gz,A
4GC5,pdb4gc5.ent.gz,A
3TJT,pdb3tjt.ent.gz,A
4M7R,pdb4m7r.ent.gz,A
6LT9,pdb6lt9.ent.gz,B
6IN9,pdb6in9.ent.gz,A
6IN9,pdb6in9.ent.gz,C
4MYV,pdb4myv.ent.gz,A
4G08,pdb4g08.ent.gz,A
3U9G,pdb3u9g.ent.gz,A
5GSB,pdb5gsb.ent.gz,A
4E0A,pdb4e0a.ent.gz,A
5HFI,pdb5hfi.ent.gz,A
5I7Z,pdb5i7z.ent.gz,A
3QRA,pdb3qra.ent.gz,A
4RWZ,pdb4rwz.ent.gz,A
5MG9,pdb5mg9.ent.gz,A
3X38,pdb3x38.ent.gz,A
7AL7,7AL7.pdb.gz,A
4NE3,pdb4ne3.ent.gz,A
4NE3,pdb4ne3.ent.gz,B
2GAX,pdb2gax.ent.gz,A
6B9R,pdb6b9r.ent.gz,A
5Z3K,pdb5z3k.ent.gz,A
4R85,pdb4r85.ent.gz,A
6WJ0,pdb6wj0.ent.gz,H
6WJ0,pdb6wj0.ent.gz,L
4N8M,pdb4n8m.ent.gz,A
6HQJ,pdb6hqj.ent.gz,A
4TND,pdb4tnd.ent.gz,A
3LET,pdb3let.ent.gz,A
4FLB,pdb4flb.ent.gz,A
3ECH,pdb3ech.ent.gz,A
4GIM,pdb4gim.ent.gz,A
6HUN,pdb6hun.ent.gz,A
4TQ1,pdb4tq1.ent.gz,A
4NRN,pdb4nrn.ent.gz,A
5XBF,pdb5xbf.ent.gz,A
5XBF,pdb5xbf.ent.gz,B
4RWH,pdb4rwh.ent.gz,A
5FLH,pdb5flh.ent.gz,A
6GME,pdb6gme.ent.gz,A
4OFK,pdb4ofk.ent.gz,A
4DO8,pdb4do8.ent.gz,A
4XO1,pdb4xo1.ent.gz,A
7CV2,pdb7cv2.ent.gz,A
5F5E,pdb5f5e.ent.gz,A
4OKV,pdb4okv.ent.gz,E
1ZR0,pdb1zr0.ent.gz,B
7DWW,pdb7dww.ent.gz,A
6JOX,pdb6jox.ent.gz,A
4E4Y,pdb4e4y.ent.gz,A
6IO1,pdb6io1.ent.gz,A
5CJZ,pdb5cjz.ent.gz,A
7T08,7T08.pdb.gz,B
7T08,7T08.pdb.gz,A
5EGH,pdb5egh.ent.gz,A
6J02,pdb6j02.ent.gz,A
6ONT,pdb6ont.ent.gz,A
4ZQV,pdb4zqv.ent.gz,A
3ZDM,pdb3zdm.ent.gz,A
5WTZ,pdb5wtz.ent.gz,A
2PVQ,pdb2pvq.ent.gz,A
5YM6,pdb5ym6.ent.gz,A
4G43,pdb4g43.ent.gz,A
6IFE,pdb6ife.ent.gz,A
5Y8E,pdb5y8e.ent.gz,A
7R97,7R97.pdb.gz,A
6RJO,pdb6rjo.ent.gz,A
3ZG9,pdb3zg9.ent.gz,B
7DWC,7DWC.pdb.gz,A
3ZG9,pdb3zg9.ent.gz,A
6MNQ,pdb6mnq.ent.gz,H
6MNQ,pdb6mnq.ent.gz,L
5DII,pdb5dii.ent.gz,A
4YII,pdb4yii.ent.gz,U
4YII,pdb4yii.ent.gz,A
6AQE,pdb6aqe.ent.gz,A
4UPL,pdb4upl.ent.gz,A
3LFH,pdb3lfh.ent.gz,A
6K5P,pdb6k5p.ent.gz,A
2XLK,pdb2xlk.ent.gz,A
6CUJ,pdb6cuj.ent.gz,A
6DEN,pdb6den.ent.gz,A
7F27,7F27.pdb.gz,A
3FVB,pdb3fvb.ent.gz,A
3O85,pdb3o85.ent.gz,A
5VGU,pdb5vgu.ent.gz,A
5OF9,pdb5of9.ent.gz,A
4YQZ,pdb4yqz.ent.gz,A
6BVC,pdb6bvc.ent.gz,A
6MVJ,pdb6mvj.ent.gz,A
5FID,pdb5fid.ent.gz,A
2PNY,pdb2pny.ent.gz,A
5TGF,pdb5tgf.ent.gz,A
7BLY,pdb7bly.ent.gz,A
7U1Y,7U1Y.pdb.gz,A
4ZDF,pdb4zdf.ent.gz,A
6BWR,pdb6bwr.ent.gz,A
5O0J,pdb5o0j.ent.gz,A
5ZMJ,pdb5zmj.ent.gz,H
5ELG,pdb5elg.ent.gz,A
5T40,pdb5t40.ent.gz,A
3SWG,pdb3swg.ent.gz,A
6Y6G,pdb6y6g.ent.gz,A
3OWR,pdb3owr.ent.gz,A
5OCM,pdb5ocm.ent.gz,A
3DTZ,pdb3dtz.ent.gz,A
2C41,pdb2c41.ent.gz,A
3WN4,pdb3wn4.ent.gz,A
5MBL,pdb5mbl.ent.gz,B
2X3E,pdb2x3e.ent.gz,A
3C5Y,pdb3c5y.ent.gz,A
1V3Y,pdb1v3y.ent.gz,A
4YCA,pdb4yca.ent.gz,A
2IW0,pdb2iw0.ent.gz,A
7ZXS,7ZXS.pdb.gz,A
4LCQ,pdb4lcq.ent.gz,A
4I95,pdb4i95.ent.gz,A
4OQR,pdb4oqr.ent.gz,A
4YY8,pdb4yy8.ent.gz,A
4GWR,pdb4gwr.ent.gz,A
3LUR,pdb3lur.ent.gz,A
4AGK,pdb4agk.ent.gz,A
8BAD,8BAD.pdb.gz,A
2PKE,pdb2pke.ent.gz,A
7QEJ,7QEJ.pdb.gz,A
5J1K,pdb5j1k.ent.gz,A
5A1M,pdb5a1m.ent.gz,A
6PWY,pdb6pwy.ent.gz,A
2QMA,pdb2qma.ent.gz,A
5EXB,pdb5exb.ent.gz,A
7LG4,pdb7lg4.ent.gz,A
6SDK,pdb6sdk.ent.gz,A
4A5N,pdb4a5n.ent.gz,A
7C7M,pdb7c7m.ent.gz,A
4JQU,pdb4jqu.ent.gz,A
6D57,pdb6d57.ent.gz,A
4JQU,pdb4jqu.ent.gz,B
6ZTI,pdb6zti.ent.gz,A
2EWT,pdb2ewt.ent.gz,A
7AAQ,pdb7aaq.ent.gz,A
6S0Y,pdb6s0y.ent.gz,A
3TXS,pdb3txs.ent.gz,A
2C3F,pdb2c3f.ent.gz,A
3LW6,pdb3lw6.ent.gz,A
7CYS,pdb7cys.ent.gz,A
1FNY,pdb1fny.ent.gz,A
6RZQ,pdb6rzq.ent.gz,A
2C29,pdb2c29.ent.gz,D
1JLN,pdb1jln.ent.gz,A
3GHD,pdb3ghd.ent.gz,A
6RP3,pdb6rp3.ent.gz,A
5IP4,pdb5ip4.ent.gz,A
5IP4,pdb5ip4.ent.gz,D
3BCI,pdb3bci.ent.gz,A
6O2K,pdb6o2k.ent.gz,A
6D1V,pdb6d1v.ent.gz,A
6D92,pdb6d92.ent.gz,A
7AN7,7AN7.pdb.gz,A
1FUX,pdb1fux.ent.gz,A
3TZD,pdb3tzd.ent.gz,A
4G6M,pdb4g6m.ent.gz,H
1Q33,pdb1q33.ent.gz,A
3O0L,pdb3o0l.ent.gz,A
1Z06,pdb1z06.ent.gz,A
6WYN,pdb6wyn.ent.gz,A
5YUP,pdb5yup.ent.gz,H
5YUP,pdb5yup.ent.gz,L
3E0H,pdb3e0h.ent.gz,A
7A2V,pdb7a2v.ent.gz,A
7UBX,7UBX.pdb.gz,A
7UBX,7UBX.pdb.gz,C
2XEH,pdb2xeh.ent.gz,A
2PNQ,pdb2pnq.ent.gz,A
1X8B,pdb1x8b.ent.gz,A
1L7D,pdb1l7d.ent.gz,A
2YJL,pdb2yjl.ent.gz,A
1GQE,pdb1gqe.ent.gz,A
5IX3,pdb5ix3.ent.gz,A
1C96,pdb1c96.ent.gz,A
6JQ9,pdb6jq9.ent.gz,A
4BGV,pdb4bgv.ent.gz,A
2P0D,pdb2p0d.ent.gz,A
4U5Q,pdb4u5q.ent.gz,A
7REO,7REO.pdb.gz,A
5VZV,pdb5vzv.ent.gz,A
3K6F,pdb3k6f.ent.gz,A
5WCD,pdb5wcd.ent.gz,H
7AFW,pdb7afw.ent.gz,A
4O8V,pdb4o8v.ent.gz,A
4N65,pdb4n65.ent.gz,A
5A98,pdb5a98.ent.gz,A
3P5P,pdb3p5p.ent.gz,A
2P8E,pdb2p8e.ent.gz,A
3PEA,pdb3pea.ent.gz,A
6E29,pdb6e29.ent.gz,A
6PAL,pdb6pal.ent.gz,A
4TXD,pdb4txd.ent.gz,A
6D2S,pdb6d2s.ent.gz,A
7OAS,7OAS.pdb.gz,A
4LOA,pdb4loa.ent.gz,A
5HR5,pdb5hr5.ent.gz,A
1DMR,pdb1dmr.ent.gz,A
7S6T,7S6T.pdb.gz,D
7P32,7P32.pdb.gz,AAA
4LGN,pdb4lgn.ent.gz,A
7BUR,pdb7bur.ent.gz,A
3A5P,pdb3a5p.ent.gz,A
7OUB,7OUB.pdb.gz,B
3NOJ,pdb3noj.ent.gz,A
3JU8,pdb3ju8.ent.gz,A
5F4Z,pdb5f4z.ent.gz,A
5EFZ,pdb5efz.ent.gz,A
7YZM,7YZM.pdb.gz,E
1W78,pdb1w78.ent.gz,A
4G2P,pdb4g2p.ent.gz,A
7B62,pdb7b62.ent.gz,A
2PK3,pdb2pk3.ent.gz,A
3R4C,pdb3r4c.ent.gz,A
3P2Y,pdb3p2y.ent.gz,A
4V00,pdb4v00.ent.gz,A
3VC1,pdb3vc1.ent.gz,A
5AFO,pdb5afo.ent.gz,A
5NX5,pdb5nx5.ent.gz,A
4WCZ,pdb4wcz.ent.gz,A
6IBH,pdb6ibh.ent.gz,A
1B65,pdb1b65.ent.gz,A
5SYB,pdb5syb.ent.gz,A
1DW0,pdb1dw0.ent.gz,A
5EKD,pdb5ekd.ent.gz,A
7U62,7U62.pdb.gz,H
6ATH,pdb6ath.ent.gz,C
3O3M,pdb3o3m.ent.gz,A
3O3M,pdb3o3m.ent.gz,B
7ZRN,7ZRN.pdb.gz,A
2Q8R,pdb2q8r.ent.gz,E
6EER,pdb6eer.ent.gz,A
4CA7,pdb4ca7.ent.gz,A
6PR1,pdb6pr1.ent.gz,A
1UPS,pdb1ups.ent.gz,A
3QPB,pdb3qpb.ent.gz,A
7ROA,7ROA.pdb.gz,A
6O6D,pdb6o6d.ent.gz,A
2R2A,pdb2r2a.ent.gz,A
1VP4,pdb1vp4.ent.gz,A
6W9G,pdb6w9g.ent.gz,A
4O7Q,pdb4o7q.ent.gz,A
7N3C,pdb7n3c.ent.gz,H
5GQF,pdb5gqf.ent.gz,A
1RY9,pdb1ry9.ent.gz,A
6VGO,pdb6vgo.ent.gz,A
5G6R,pdb5g6r.ent.gz,A
7NLO,pdb7nlo.ent.gz,A
4J33,pdb4j33.ent.gz,A
3FES,pdb3fes.ent.gz,A
6MHL,pdb6mhl.ent.gz,A
3BE6,pdb3be6.ent.gz,A
4WH5,pdb4wh5.ent.gz,A
2XWC,pdb2xwc.ent.gz,A
4CYD,pdb4cyd.ent.gz,A
3EAU,pdb3eau.ent.gz,A
6GH3,pdb6gh3.ent.gz,A
6EKK,pdb6ekk.ent.gz,A
1V98,pdb1v98.ent.gz,A
4DH4,pdb4dh4.ent.gz,A
5XGT,pdb5xgt.ent.gz,A
2VQG,pdb2vqg.ent.gz,A
7AHZ,7AHZ.pdb.gz,AAA
3FPZ,pdb3fpz.ent.gz,A
2Q8N,pdb2q8n.ent.gz,A
6OV6,pdb6ov6.ent.gz,A
2O8P,pdb2o8p.ent.gz,A
6PXA,pdb6pxa.ent.gz,A
4XLY,pdb4xly.ent.gz,A
3HCG,pdb3hcg.ent.gz,A
7PQF,7PQF.pdb.gz,A
2PWW,pdb2pww.ent.gz,A
1VAJ,pdb1vaj.ent.gz,A
1YBZ,pdb1ybz.ent.gz,A
3O4H,pdb3o4h.ent.gz,A
2XY2,pdb2xy2.ent.gz,A
4DIP,pdb4dip.ent.gz,A
1WUR,pdb1wur.ent.gz,A
1V84,pdb1v84.ent.gz,A
1H8P,pdb1h8p.ent.gz,A
7VKB,7VKB.pdb.gz,B
1IYE,pdb1iye.ent.gz,A
3T9Z,pdb3t9z.ent.gz,A
2VSD,pdb2vsd.ent.gz,A
5XEY,pdb5xey.ent.gz,A
7EXI,7EXI.pdb.gz,A
8APP,8APP.pdb.gz,A
4LN9,pdb4ln9.ent.gz,A
3KEP,pdb3kep.ent.gz,A
1ZSQ,pdb1zsq.ent.gz,A
5IJA,pdb5ija.ent.gz,A
1JF0,pdb1jf0.ent.gz,A
1EUH,pdb1euh.ent.gz,A
2VSV,pdb2vsv.ent.gz,A
5A2V,pdb5a2v.ent.gz,A
5MVW,pdb5mvw.ent.gz,A
5MVW,pdb5mvw.ent.gz,C
7T2S,7T2S.pdb.gz,A
7S58,7S58.pdb.gz,E
2XDJ,pdb2xdj.ent.gz,A
2RBB,pdb2rbb.ent.gz,A
2C9I,pdb2c9i.ent.gz,A
1FP1,pdb1fp1.ent.gz,D
2A7L,pdb2a7l.ent.gz,A
4M9D,pdb4m9d.ent.gz,A
2VQX,pdb2vqx.ent.gz,A
4GXT,pdb4gxt.ent.gz,A
6DVS,pdb6dvs.ent.gz,A
5EN2,pdb5en2.ent.gz,A
5EN2,pdb5en2.ent.gz,C
3V6G,pdb3v6g.ent.gz,A
5F29,pdb5f29.ent.gz,A
5A9A,pdb5a9a.ent.gz,A
4PYS,pdb4pys.ent.gz,A
5HYZ,pdb5hyz.ent.gz,A
5TWB,pdb5twb.ent.gz,A
3QVL,pdb3qvl.ent.gz,A
5H66,pdb5h66.ent.gz,A
5H66,pdb5h66.ent.gz,B
5H66,pdb5h66.ent.gz,C
7XNT,7XNT.pdb.gz,A
5YS3,pdb5ys3.ent.gz,A
5VTL,pdb5vtl.ent.gz,A
4L1J,pdb4l1j.ent.gz,A
5KVA,pdb5kva.ent.gz,A
5VKT,pdb5vkt.ent.gz,A
5J34,pdb5j34.ent.gz,A
4NUJ,pdb4nuj.ent.gz,B
4NUJ,pdb4nuj.ent.gz,A
3PUT,pdb3put.ent.gz,A
7OJ4,7OJ4.pdb.gz,A
5XZG,pdb5xzg.ent.gz,A
5M6G,pdb5m6g.ent.gz,A
5KOH,pdb5koh.ent.gz,B
5KOH,pdb5koh.ent.gz,A
5C6U,pdb5c6u.ent.gz,A
3GEM,pdb3gem.ent.gz,A
5LS0,pdb5ls0.ent.gz,A
6HCP,pdb6hcp.ent.gz,A
6S9V,pdb6s9v.ent.gz,A
5K6L,pdb5k6l.ent.gz,A
6B04,pdb6b04.ent.gz,A
3RHT,pdb3rht.ent.gz,A
2W2R,pdb2w2r.ent.gz,A
4ZTT,pdb4ztt.ent.gz,A
5UCC,pdb5ucc.ent.gz,A
7VLJ,7VLJ.pdb.gz,A
2OQM,pdb2oqm.ent.gz,A
7VLJ,7VLJ.pdb.gz,B
1W4R,pdb1w4r.ent.gz,A
6QHE,pdb6qhe.ent.gz,A
1H7E,pdb1h7e.ent.gz,A
5JGF,pdb5jgf.ent.gz,A
4I17,pdb4i17.ent.gz,A
6H70,pdb6h70.ent.gz,C
4USR,pdb4usr.ent.gz,A
